zip,temp-sun-6,condition-sun-6,temp-mon-9,condition-mon-9,temp-mon-12,condition-mon-12,temp-mon-3,condition-mon-3,temp-mon-6,condition-mon-6,temp-tues-9,condition-tues-9,temp-tues-12,condition-tues-12,temp-tues-3,condition-tues-3,temp-tues-6,condition-tues-6
32096,68,Overcast,66,Partly Cloudy,76,Partly Cloudy,78,Mostly Cloudy,71,Mostly Cloudy,62,Partly Cloudy,74,Partly Cloudy,77,Partly Cloudy,70,Partly Cloudy
32097
32099,68,Overcast,70,Mostly Cloudy,76,Mostly Cloudy,75,Mostly Cloudy,70,Partly Cloudy,66,Partly Cloudy,75,Partly Cloudy,74,Partly Cloudy,68,Clear
32102,73,Partly Cloudy,72,Overcast,78,Mostly Cloudy,77,Overcast,72,Mostly Cloudy,71,Mostly Cloudy,76,Overcast,76,Mostly Cloudy,70,Partly Cloudy
32105
32110,73,Partly Cloudy,74,Overcast,77,Mostly Cloudy,75,Overcast,72,Overcast,73,Overcast,75,Mostly Cloudy,75,Overcast,70,Mostly Cloudy
32111,76,Partly Cloudy,71,Mostly Cloudy,79,Mostly Cloudy,78,Mostly Cloudy,73,Overcast,69,Partly Cloudy,77,Partly Cloudy,78,Partly Cloudy,73,Partly Cloudy
32112,72,Partly Cloudy,72,Overcast,77,Overcast,76,Overcast,71,Overcast,70,Mostly Cloudy,75,Overcast,75,Overcast,69,Partly Cloudy
32113,72,Partly Cloudy,70,Partly Cloudy,78,Mostly Cloudy,78,Overcast,72,Mostly Cloudy,67,Mostly Cloudy,75,Mostly Cloudy,76,Mostly Cloudy,70,Partly Cloudy
32114,73,Partly Cloudy,75,Overcast,77,Mostly Cloudy,76,Mostly Cloudy,73,Mostly Cloudy,74,Overcast,76,Mostly Cloudy,76,Mostly Cloudy,71,Mostly Cloudy
32115,73,Partly Cloudy,75,Overcast,77,Mostly Cloudy,76,Mostly Cloudy,73,Mostly Cloudy,74,Mostly Cloudy,76,Mostly Cloudy,76,Mostly Cloudy,72,Mostly Cloudy
32116,73,Partly Cloudy,75,Overcast,77,Mostly Cloudy,76,Mostly Cloudy,73,Mostly Cloudy,74,Mostly Cloudy,76,Mostly Cloudy,76,Mostly Cloudy,72,Mostly Cloudy
32117
32118,74,Partly Cloudy,75,Overcast,77,Mostly Cloudy,76,Mostly Cloudy,73,Mostly Cloudy,74,Overcast,76,Mostly Cloudy,76,Mostly Cloudy,72,Mostly Cloudy
32119,73,Partly Cloudy,75,Mostly Cloudy,77,Mostly Cloudy,76,Overcast,73,Mostly Cloudy,74,Mostly Cloudy,76,Overcast,76,Mostly Cloudy,71,Mostly Cloudy
32120,73,Partly Cloudy,75,Overcast,77,Mostly Cloudy,76,Mostly Cloudy,73,Mostly Cloudy,74,Overcast,76,Mostly Cloudy,76,Mostly Cloudy,72,Mostly Cloudy
32121,73,Partly Cloudy,75,Overcast,77,Mostly Cloudy,76,Mostly Cloudy,73,Mostly Cloudy,74,Mostly Cloudy,76,Mostly Cloudy,76,Mostly Cloudy,72,Mostly Cloudy
32122,73,Partly Cloudy,75,Overcast,77,Mostly Cloudy,76,Mostly Cloudy,73,Mostly Cloudy,74,Overcast,76,Mostly Cloudy,76,Mostly Cloudy,72,Mostly Cloudy
32123,73,Partly Cloudy,75,Overcast,77,Mostly Cloudy,76,Mostly Cloudy,73,Mostly Cloudy,74,Mostly Cloudy,76,Mostly Cloudy,76,Mostly Cloudy,72,Mostly Cloudy
32124,71,Partly Cloudy,74,Overcast,77,Mostly Cloudy,76,Overcast,72,Mostly Cloudy,73,Overcast,75,Overcast,76,Overcast,70,Mostly Cloudy
32125,73,Partly Cloudy,75,Overcast,77,Mostly Cloudy,76,Mostly Cloudy,73,Mostly Cloudy,74,Overcast,76,Mostly Cloudy,76,Mostly Cloudy,72,Mostly Cloudy
32126,73,Partly Cloudy,75,Overcast,77,Mostly Cloudy,76,Mostly Cloudy,73,Mostly Cloudy,74,Overcast,76,Mostly Cloudy,76,Mostly Cloudy,72,Mostly Cloudy
32127,73,Partly Cloudy,75,Mostly Cloudy,77,Mostly Cloudy,76,Overcast,73,Overcast,74,Mostly Cloudy,76,Overcast,76,Mostly Cloudy,71,Mostly Cloudy
32128,73,Partly Cloudy,75,Mostly Cloudy,77,Mostly Cloudy,76,Overcast,73,Mostly Cloudy,74,Mostly Cloudy,76,Mostly Cloudy,76,Mostly Cloudy,71,Mostly Cloudy
32129,73,Partly Cloudy,75,Overcast,77,Mostly Cloudy,76,Mostly Cloudy,73,Mostly Cloudy,74,Mostly Cloudy,76,Mostly Cloudy,76,Mostly Cloudy,72,Mostly Cloudy
32130,73,Partly Cloudy,73,Overcast,78,Mostly Cloudy,77,Mostly Cloudy,71,Mostly Cloudy,72,Mostly Cloudy,76,Overcast,76,Overcast,70,Partly Cloudy
32131,72,Partly Cloudy,71,Overcast,77,Mostly Cloudy,76,Overcast,71,Overcast,68,Overcast,75,Overcast,75,Mostly Cloudy,69,Partly Cloudy
32132,73,Partly Cloudy,75,Overcast,77,Overcast,76,Overcast,73,Overcast,74,Overcast,77,Overcast,76,Mostly Cloudy,72,Mostly Cloudy
32133,74,Partly Cloudy,71,Mostly Cloudy,79,Mostly Cloudy,79,Partly Cloudy,72,Mostly Cloudy,69,Mostly Cloudy,77,Partly Cloudy,78,Partly Cloudy,72,Partly Cloudy
32134,73,Partly Cloudy,70,Mostly Cloudy,78,Mostly Cloudy,78,Mostly Cloudy,72,Mostly Cloudy,68,Mostly Cloudy,76,Mostly Cloudy,76,Mostly Cloudy,71,Partly Cloudy
32135,74,Partly Cloudy,75,Overcast,76,Mostly Cloudy,75,Overcast,73,Overcast,74,Overcast,75,Overcast,75,Mostly Cloudy,71,Mostly Cloudy
32136,73,Partly Cloudy,75,Overcast,76,Mostly Cloudy,75,Overcast,72,Overcast,74,Overcast,75,Overcast,75,Mostly Cloudy,70,Mostly Cloudy
32137
32138
32139
32140,69,Mostly Cloudy,70,Mostly Cloudy,77,Mostly Cloudy,75,Overcast,70,Overcast,67,Mostly Cloudy,74,Mostly Cloudy,75,Mostly Cloudy,68,Partly Cloudy
32141,73,Partly Cloudy,74,Overcast,77,Overcast,76,Overcast,72,Mostly Cloudy,74,Mostly Cloudy,77,Overcast,76,Overcast,71,Mostly Cloudy
32142,74,Partly Cloudy,75,Overcast,76,Mostly Cloudy,75,Overcast,73,Overcast,74,Overcast,75,Overcast,75,Mostly Cloudy,71,Mostly Cloudy
32145
